=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
 1 | snaumarkFrisk                           | GroenneOmr               | GravUrnelund             | jorddekt         | 7
 2 | snaumarkFrisk                           | GroenneOmr               | Lekeplass                | jorddekt         | 39
 3 | snaumarkFrisk                           | GroenneOmr               | Park                     | jorddekt         | 31
 4 | snaumarkFrisk                           | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 22
 5 | snaumarkFrisk                           | IdrettsOmr               | Alpinanlegg              | jorddekt         | 119
 6 | snaumarkFrisk                           | IdrettsOmr               | Golfanlegg               | jorddekt         | 88
 7 | snaumarkFrisk                           | IdrettsOmr               | Skytebane                | grunnlendt       | 1
 8 | snaumarkFrisk                           | IdrettsOmr               | Skytebane                | jorddekt         | 23
 9 | snaumarkFrisk                           | TransportTelek           | LufthavnOmr              | jorddekt         | 1
10 | snaumarkFrisk                           | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 109
11 | snaumarkFrisk                           | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 687
12 | snaumarkFrisk                           | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 4565
13 | snaumarkFrisk                           | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 11072
14 | snaumarkImpediment                      | IdrettsOmr               | Alpinanlegg              | fjellIDagen      | 1
15 | snaumarkImpediment                      | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 1
16 | snaumarkImpediment                      | IdrettsOmr               | Alpinanlegg              | jorddekt         | 4
17 | snaumarkImpediment                      | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 44
18 | snaumarkImpediment                      | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 949
19 | snaumarkImpediment                      | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 45
20 | snaumarkImpediment                      | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 74
21 | snaumarkKonstruert                      | GroenneOmr               | GravUrnelund             | konstruert       | 1
22 | snaumarkKonstruert                      | GroenneOmr               | Lekeplass                | konstruert       | 9
23 | snaumarkKonstruert                      | GroenneOmr               | Park                     | konstruert       | 1
24 | snaumarkKonstruert                      | IdrettsOmr               | Alpinanlegg              | konstruert       | 17
25 | snaumarkKonstruert                      | IdrettsOmr               | Skytebane                | konstruert       | 31
26 | snaumarkKonstruert                      | NaeringTjeneste          | Bergverk                 | konstruert       | 681
27 | snaumarkKonstruert                      | TransportTelek           | LufthavnOmr              | konstruert       | 1
28 | snaumarkKonstruert                      | ikkeRegistrert           | ikkeRegistrert           | konstruert       | 1912
29 | snaumarkMiddelsFrisk                    | GroenneOmr               | Lekeplass                | jorddekt         | 1
